,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV43,0.000223375,0,0,0.000223375,0.000248194,0,0.000620486,0.00352436,0.000769403,0.001116875,0.000496389,0.000347472,0.001141694,0.000967958,0.001265791,0.001613264,0.000297833,0.000496389
ASV119,0.000670125,0,0.000372292,0,0,0,0.001116875,0,0.000918319,0.001216152,0.001588444,0,0.00086868,0.000992778,0.00131543,0.000322653,0.001836638,0
ASV36,0.000347472,0,0.000297833,0.000645305,0.000471569,0.000148917,0.000967958,0.002804597,0.000397111,0.000769403,0.000670125,0.000521208,0.001042416,0.001141694,0.000670125,0.000719764,0,0.000248194
ASV88,0.000173736,0,0.000273014,0,7.45E-05,0,0.000570847,0.00352436,0.000347472,0.000694944,0.00044675,0.000570847,0.000769403,0.000595667,0.001141694,0.000744583,0.000397111,0.000546028
ASV41,0.00044675,0,0,0.000124097,0.000223375,0,0.000148917,0.008066318,0.000198556,0.000297833,0.000124097,4.96E-05,0.000397111,0.000620486,0.00042193,0,0,0
ASV646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003052791,0,0.009754039
ASV116,0,0,0,0,0,0,0.002035194,0,0,0,0.002357847,0.001687722,0,0.002258569,0,0,0,0
ASV467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01193815,0
ASV118,0,0,9.93E-05,0.000223375,0,4.96E-05,0.000198556,0.001290611,0.000670125,0.000124097,7.45E-05,0.000173736,0.000546028,0.001191333,0.001513986,0.000595667,0.000471569,0.000794222
ASV50,0.000297833,0,0.000273014,0,0.000198556,0,0.000471569,0.00220893,0.000273014,0.001265791,0.000248194,0.000471569,0.000595667,0.00086868,0.000570847,0.000322653,0,0.000198556
ASV60,0,0,0.000223375,0.000124097,0.000148917,0,0.000570847,0.000546028,0.000546028,0.000570847,0.000273014,0.000521208,0.000546028,0.000570847,0.000397111,0.000744583,0.000347472,0.000322653
ASV123,0,0,0.000819041,0,0,0,0.000273014,0.001638083,0.000595667,0.000521208,0,0.00042193,0.001017597,0.000521208,0.000521208,0,0.000248194,0.000819041
ASV30,0.000694944,0,0,0.000347472,0.001166514,0,0.001836638,0,0,0,0.002854235,0,0,0,0,0.001042416,0,0
ASV34,0,0,0,0.000223375,0.000670125,0,0.000744583,0.000694944,0,0,0.000744583,0.000769403,0.000273014,0.000719764,0,0.000173736,0.000843861,0.000694944
ASV578,0.000471569,0,0,0,0,0,0.000620486,0.001638083,0,0.001538805,0.002804597,0.001911097,0,0,0,0,0,0
ASV57,0,0,9.93E-05,0,0.000148917,2.48E-05,0.000595667,0.001265791,0.000248194,0.000223375,0.000223375,0.000223375,0.000570847,0.00044675,0.001092055,0.000694944,9.93E-05,0.000397111
ASV121,0.000546028,0,0,0,0,0,0,0,0.00220893,0,0.000918319,0,0.001240972,0.000670125,0.000794222,0.000992778,0,0
ASV584,0,0,0,0,0,0.000521208,0.000297833,0,0.002109652,0,0,0,0,0,0,0,0,0
ASV126,0.000223375,0,0,2.48E-05,0,0,0.000198556,0.000645305,0.000148917,0,0,0,0.00042193,0.00042193,0.000397111,0.000347472,0,0.000198556
ASV468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006477873,0
ASV40,0,0,0,0,0.000198556,0,0.001191333,0.000595667,0,0.000322653,0.000992778,0.000769403,0,0.000322653,0,0,0,0
ASV504,0.00265568,0,0,0,0,0,0,0,0.000694944,0.000273014,0,0,0,0,0.000148917,0,0.000198556,0
ASV297,0,0,0,0.000694944,0,0,0,0,0,0.002928694,0,0,0,0,0,0,0.000223375,0.000223375
ASV45,7.45E-05,0,0,0,0.000198556,0,0.000546028,0.000521208,0,0.000372292,0.000347472,0.000719764,0,0.000372292,0,0.000148917,0,0
ASV863,0,0,0,0,0,0,0,0,0.004889429,0,0,0,0,0,0,0,0,0
ASV56,7.45E-05,0,0,0,0.000124097,0,7.45E-05,0.000372292,0,0,0.000124097,0,0,9.93E-05,0.000397111,0.000248194,0.000124097,0
ASV469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441786,0
ASV317,0,0,0,0,0,0,0.000496389,0,0,0,0.004666054,0,0,0,0,0,0,0
ASV736,0,0,0,0,0,0.004467499,0,0,0,0,0,0,0,0,0,0,0,0
ASV62,0,0,0,9.93E-05,0.000148917,0,0,0.000769403,9.93E-05,0.000372292,0.000248194,0,0,0.00042193,0.00044675,0.000521208,0,9.93E-05
ASV491,0,0,0,0.000273014,0,0,0,0.000595667,0.000347472,0.000620486,0.000694944,0,0,0,0.000670125,0,0.000297833,0
ASV792,0,0,0,0,0,0,0,0,0,0,0,0.004045568,0,0,0,0,0,0
ASV470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003350624,0
ASV139,0,0,4.96E-05,0,0,0,9.93E-05,0.001216152,0,0.000223375,0.000148917,0,0.000297833,9.93E-05,0.000273014,0.000248194,0.000198556,0
